,accuracy,accuracies,permutation_specific_accuracies,best_ordering,sigma
"({'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'})",,,"[59.61538461538461, 72.11538461538461, 82.6923076923077, 81.73076923076923, 82.6923076923077, 82.6923076923077, 82.6923076923077, 82.6923076923077, 82.6923076923077]",,
"({'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'})",,,"[74.03846153846155, 82.6923076923077, 83.65384615384616, 82.6923076923077, 82.6923076923077, 82.6923076923077, 82.6923076923077, 82.6923076923077, 82.6923076923077]",,
"({'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'})",,,"[81.73076923076923, 75.96153846153845, 69.23076923076923, 71.15384615384616, 75.0, 77.88461538461539, 78.84615384615384, 80.76923076923077, 80.76923076923077]",,
"({'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'})",,,"[74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 75.96153846153845, 77.88461538461539, 78.84615384615384, 80.76923076923077, 80.76923076923077]",,
"({'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",,,"[82.6923076923077, 82.6923076923077, 78.84615384615384, 72.11538461538461, 70.1923076923077, 70.1923076923077, 70.1923076923077, 68.26923076923077, 69.23076923076923]",,
"({'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'})",,,"[83.65384615384616, 80.76923076923077, 76.92307692307693, 72.11538461538461, 70.1923076923077, 70.1923076923077, 70.1923076923077, 68.26923076923077, 69.23076923076923]",,
"({'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",,,"[83.65384615384616, 84.61538461538461, 79.8076923076923, 78.84615384615384, 76.92307692307693, 75.0, 75.0, 73.07692307692307, 73.07692307692307]",,
"({'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'})",,,"[72.11538461538461, 80.76923076923077, 78.84615384615384, 78.84615384615384, 75.96153846153845, 75.0, 75.0, 73.07692307692307, 73.07692307692307]",,
"({'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'})",,,"[83.65384615384616, 79.8076923076923, 78.84615384615384, 78.84615384615384, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155]",,
"({'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'})",,,"[73.07692307692307, 80.76923076923077, 80.76923076923077, 79.8076923076923, 75.96153846153845, 75.0, 75.0, 74.03846153846155, 74.03846153846155]",,
"({'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",,,"[79.8076923076923, 82.6923076923077, 81.73076923076923, 80.76923076923077, 81.73076923076923, 81.73076923076923, 79.8076923076923, 75.96153846153845, 78.84615384615384]",,
"({'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'})",,,"[65.38461538461539, 80.76923076923077, 79.8076923076923, 80.76923076923077, 80.76923076923077, 81.73076923076923, 79.8076923076923, 75.96153846153845, 78.84615384615384]",,
"({'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'})",,,"[80.76923076923077, 77.88461538461539, 78.84615384615384, 79.8076923076923, 80.76923076923077, 81.73076923076923, 79.8076923076923, 75.96153846153845, 78.84615384615384]",,
"({'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",,,"[76.92307692307693, 74.03846153846155, 75.96153846153845, 77.88461538461539, 78.84615384615384, 79.8076923076923, 78.84615384615384, 76.92307692307693, 77.88461538461539]",,
"({'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'})",,,"[79.8076923076923, 74.03846153846155, 75.96153846153845, 77.88461538461539, 78.84615384615384, 79.8076923076923, 78.84615384615384, 76.92307692307693, 77.88461538461539]",,
"({'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'})",,,"[62.5, 81.73076923076923, 83.65384615384616, 83.65384615384616, 81.73076923076923, 83.65384615384616, 80.76923076923077, 78.84615384615384, 77.88461538461539]",,
"({'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",,,"[76.92307692307693, 81.73076923076923, 83.65384615384616, 83.65384615384616, 81.73076923076923, 83.65384615384616, 80.76923076923077, 78.84615384615384, 77.88461538461539]",,
"({'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'})",,,"[57.692307692307686, 77.88461538461539, 82.6923076923077, 83.65384615384616, 82.6923076923077, 83.65384615384616, 80.76923076923077, 78.84615384615384, 77.88461538461539]",,
"({'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'})",,,"[74.03846153846155, 75.0, 81.73076923076923, 82.6923076923077, 82.6923076923077, 83.65384615384616, 80.76923076923077, 78.84615384615384, 77.88461538461539]",,
"({'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",,,"[80.76923076923077, 84.61538461538461, 84.61538461538461, 83.65384615384616, 81.73076923076923, 83.65384615384616, 80.76923076923077, 78.84615384615384, 77.88461538461539]",,
"({'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'})",,,"[76.92307692307693, 79.8076923076923, 84.61538461538461, 83.65384615384616, 81.73076923076923, 83.65384615384616, 80.76923076923077, 78.84615384615384, 77.88461538461539]",,
"({'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'})",,,"[66.34615384615384, 81.73076923076923, 80.76923076923077, 83.65384615384616, 83.65384615384616, 83.65384615384616, 80.76923076923077, 77.88461538461539, 77.88461538461539]",,
"({'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'})",,,"[77.88461538461539, 77.88461538461539, 79.8076923076923, 83.65384615384616, 83.65384615384616, 83.65384615384616, 80.76923076923077, 77.88461538461539, 77.88461538461539]",,
"({'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'})",,,"[59.61538461538461, 82.6923076923077, 82.6923076923077, 83.65384615384616, 83.65384615384616, 83.65384615384616, 81.73076923076923, 78.84615384615384, 77.88461538461539]",,
"({'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'})",,,"[75.0, 84.61538461538461, 82.6923076923077, 83.65384615384616, 83.65384615384616, 83.65384615384616, 81.73076923076923, 78.84615384615384, 77.88461538461539]",,
"({'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'})",,,"[82.6923076923077, 69.23076923076923, 77.88461538461539, 85.57692307692307, 84.61538461538461, 83.65384615384616, 81.73076923076923, 78.84615384615384, 77.88461538461539]",,
"({'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'})",,,"[77.88461538461539, 70.1923076923077, 80.76923076923077, 85.57692307692307, 84.61538461538461, 83.65384615384616, 81.73076923076923, 78.84615384615384, 77.88461538461539]",,
"({'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",,,"[80.76923076923077, 76.92307692307693, 71.15384615384616, 75.0, 78.84615384615384, 75.96153846153845, 69.23076923076923, 68.26923076923077, 70.1923076923077]",,
"({'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'})",,,"[81.73076923076923, 76.92307692307693, 71.15384615384616, 75.0, 78.84615384615384, 75.96153846153845, 69.23076923076923, 68.26923076923077, 70.1923076923077]",,
"({'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",,,"[82.6923076923077, 79.8076923076923, 75.96153846153845, 77.88461538461539, 81.73076923076923, 79.8076923076923, 70.1923076923077, 68.26923076923077, 70.1923076923077]",,
"({'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'})",,,"[74.03846153846155, 79.8076923076923, 75.0, 77.88461538461539, 81.73076923076923, 79.8076923076923, 70.1923076923077, 68.26923076923077, 70.1923076923077]",,
"({'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'})",,,"[83.65384615384616, 77.88461538461539, 75.96153846153845, 78.84615384615384, 81.73076923076923, 79.8076923076923, 70.1923076923077, 68.26923076923077, 70.1923076923077]",,
"({'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'})",,,"[75.0, 80.76923076923077, 75.96153846153845, 78.84615384615384, 81.73076923076923, 79.8076923076923, 70.1923076923077, 68.26923076923077, 70.1923076923077]",,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'})",,,"[58.65384615384615, 74.03846153846155, 78.84615384615384, 78.84615384615384, 78.84615384615384, 79.8076923076923, 81.73076923076923, 79.8076923076923, 78.84615384615384]",,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",,,"[83.65384615384616, 80.76923076923077, 78.84615384615384, 78.84615384615384, 78.84615384615384, 79.8076923076923, 81.73076923076923, 79.8076923076923, 78.84615384615384]",,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'})",,,"[60.57692307692307, 80.76923076923077, 79.8076923076923, 79.8076923076923, 79.8076923076923, 79.8076923076923, 81.73076923076923, 79.8076923076923, 78.84615384615384]",,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'})",,,"[81.73076923076923, 73.07692307692307, 79.8076923076923, 79.8076923076923, 79.8076923076923, 79.8076923076923, 81.73076923076923, 79.8076923076923, 78.84615384615384]",,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",,,"[79.8076923076923, 79.8076923076923, 76.92307692307693, 77.88461538461539, 77.88461538461539, 78.84615384615384, 81.73076923076923, 79.8076923076923, 78.84615384615384]",,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'})",,,"[81.73076923076923, 79.8076923076923, 76.92307692307693, 77.88461538461539, 77.88461538461539, 78.84615384615384, 81.73076923076923, 79.8076923076923, 78.84615384615384]",,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'})",,,"[58.65384615384615, 67.3076923076923, 81.73076923076923, 81.73076923076923, 82.6923076923077, 82.6923076923077, 80.76923076923077, 76.92307692307693, 75.96153846153845]",,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",,,"[79.8076923076923, 80.76923076923077, 81.73076923076923, 81.73076923076923, 82.6923076923077, 82.6923076923077, 80.76923076923077, 76.92307692307693, 75.96153846153845]",,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'})",,,"[62.5, 70.1923076923077, 83.65384615384616, 83.65384615384616, 82.6923076923077, 82.6923076923077, 80.76923076923077, 76.92307692307693, 75.96153846153845]",,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'})",,,"[59.61538461538461, 61.53846153846154, 83.65384615384616, 83.65384615384616, 82.6923076923077, 82.6923076923077, 80.76923076923077, 76.92307692307693, 75.96153846153845]",,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",,,"[82.6923076923077, 79.8076923076923, 82.6923076923077, 82.6923076923077, 81.73076923076923, 82.6923076923077, 80.76923076923077, 76.92307692307693, 75.96153846153845]",,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'})",,,"[57.692307692307686, 72.11538461538461, 82.6923076923077, 82.6923076923077, 81.73076923076923, 82.6923076923077, 80.76923076923077, 76.92307692307693, 75.96153846153845]",,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'})",,,"[61.53846153846154, 77.88461538461539, 79.8076923076923, 82.6923076923077, 82.6923076923077, 81.73076923076923, 82.6923076923077, 78.84615384615384, 76.92307692307693]",,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'})",,,"[79.8076923076923, 78.84615384615384, 79.8076923076923, 82.6923076923077, 82.6923076923077, 81.73076923076923, 82.6923076923077, 78.84615384615384, 76.92307692307693]",,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'})",,,"[62.5, 72.11538461538461, 81.73076923076923, 81.73076923076923, 81.73076923076923, 81.73076923076923, 82.6923076923077, 78.84615384615384, 76.92307692307693]",,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'})",,,"[59.61538461538461, 70.1923076923077, 81.73076923076923, 81.73076923076923, 81.73076923076923, 81.73076923076923, 82.6923076923077, 78.84615384615384, 76.92307692307693]",,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'})",,,"[82.6923076923077, 75.0, 78.84615384615384, 80.76923076923077, 80.76923076923077, 80.76923076923077, 81.73076923076923, 78.84615384615384, 76.92307692307693]",,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'})",,,"[59.61538461538461, 75.96153846153845, 78.84615384615384, 80.76923076923077, 80.76923076923077, 80.76923076923077, 81.73076923076923, 78.84615384615384, 76.92307692307693]",,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",,,"[81.73076923076923, 75.96153846153845, 75.0, 74.03846153846155, 73.07692307692307, 72.11538461538461, 75.0, 75.0, 75.0]",,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'})",,,"[81.73076923076923, 77.88461538461539, 75.0, 74.03846153846155, 73.07692307692307, 72.11538461538461, 75.0, 75.0, 75.0]",,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",,,"[81.73076923076923, 76.92307692307693, 73.07692307692307, 74.03846153846155, 72.11538461538461, 72.11538461538461, 75.0, 75.0, 75.0]",,
