,accuracy,permutation_specific_accuracies,accuracies,best_ordering,sigma
"({'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",[],"[63.39869281045751, 62.41830065359477, 62.091503267973856, 61.76470588235294, 60.78431372549019, 58.82352941176471, 58.496732026143796, 58.496732026143796, 56.209150326797385]",,,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'})",[],"[59.80392156862745, 65.0326797385621, 69.6078431372549, 68.95424836601308, 68.62745098039215, 68.95424836601308, 68.62745098039215, 66.66666666666666, 68.30065359477125]",,,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",[],"[63.0718954248366, 68.62745098039215, 68.30065359477125, 67.64705882352942, 67.97385620915033, 68.30065359477125, 67.64705882352942, 66.66666666666666, 67.97385620915033]",,,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",[],"[63.39869281045751, 63.39869281045751, 61.76470588235294, 61.76470588235294, 60.78431372549019, 61.43790849673203, 61.76470588235294, 61.76470588235294, 63.0718954248366]",,,
"({'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",[],"[63.0718954248366, 64.05228758169935, 74.50980392156863, 75.49019607843137, 76.1437908496732, 76.47058823529412, 75.49019607843137, 77.12418300653596, 77.12418300653596]",,,
"({'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'})",[],"[59.150326797385624, 69.28104575163398, 67.97385620915033, 66.01307189542483, 66.01307189542483, 63.725490196078425, 64.05228758169935, 64.70588235294117, 60.130718954248366]",,,
"({'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",[],"[62.41830065359477, 69.93464052287581, 66.33986928104575, 64.37908496732027, 64.37908496732027, 63.0718954248366, 63.725490196078425, 64.70588235294117, 60.130718954248366]",,,
"({'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",[],"[63.0718954248366, 62.41830065359477, 61.43790849673203, 60.45751633986928, 61.111111111111114, 61.43790849673203, 61.76470588235294, 63.725490196078425, 59.80392156862745]",,,
"({'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",[],"[62.745098039215684, 63.0718954248366, 73.8562091503268, 73.8562091503268, 70.91503267973856, 69.93464052287581, 66.66666666666666, 64.37908496732027, 58.496732026143796]",,,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",[],"[63.0718954248366, 68.95424836601308, 69.28104575163398, 68.62745098039215, 68.62745098039215, 68.95424836601308, 68.62745098039215, 66.66666666666666, 68.30065359477125]",,,
