,accuracy,permutation_specific_accuracies,accuracies,best_ordering,sigma
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'})",,"[50.98039215686274, 51.633986928104584, 54.57516339869281, 54.57516339869281, 54.57516339869281, 54.57516339869281, 54.57516339869281, 54.57516339869281, 57.84313725490197]",,,
"({'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'})",,"[51.633986928104584, 52.28758169934641, 71.89542483660131, 72.22222222222221, 73.52941176470588, 74.18300653594771, 74.18300653594771, 74.18300653594771, 73.8562091503268]",,,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'})",,"[50.98039215686274, 51.307189542483655, 53.26797385620915, 56.209150326797385, 57.18954248366013, 59.80392156862745, 59.80392156862745, 59.80392156862745, 60.130718954248366]",,,
"({'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'})",,"[50.98039215686274, 50.98039215686274, 51.9607843137255, 54.248366013071895, 54.57516339869281, 55.55555555555556, 56.209150326797385, 57.18954248366013, 58.16993464052288]",,,
"({'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'})",,"[60.130718954248366, 60.130718954248366, 73.52941176470588, 73.8562091503268, 74.18300653594771, 74.18300653594771, 73.20261437908496, 73.20261437908496, 73.20261437908496]",,,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'})",,"[59.80392156862745, 60.130718954248366, 60.78431372549019, 61.111111111111114, 60.45751633986928, 62.091503267973856, 62.41830065359477, 62.41830065359477, 62.745098039215684]",,,
"({'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'})",,"[59.80392156862745, 59.80392156862745, 59.80392156862745, 60.130718954248366, 60.130718954248366, 61.111111111111114, 61.43790849673203, 61.76470588235294, 62.091503267973856]",,,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'})",,"[66.01307189542483, 66.01307189542483, 58.16993464052288, 58.82352941176471, 60.45751633986928, 62.091503267973856, 62.091503267973856, 61.43790849673203, 62.745098039215684]",,,
"({'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'})",,"[65.68627450980392, 65.68627450980392, 66.66666666666666, 65.0326797385621, 65.0326797385621, 65.0326797385621, 66.33986928104575, 65.68627450980392, 66.33986928104575]",,,
"({'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'})",,"[59.80392156862745, 59.80392156862745, 59.80392156862745, 60.45751633986928, 60.78431372549019, 61.76470588235294, 62.091503267973856, 62.41830065359477, 62.745098039215684]",,,
"({'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'})",,"[60.130718954248366, 60.78431372549019, 72.54901960784314, 71.56862745098039, 67.64705882352942, 67.3202614379085, 64.70588235294117, 63.725490196078425, 58.496732026143796]",,,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'})",,"[66.66666666666666, 59.80392156862745, 55.88235294117647, 56.5359477124183, 55.88235294117647, 55.22875816993464, 55.22875816993464, 54.248366013071895, 58.16993464052288]",,,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'})",,"[51.633986928104584, 58.16993464052288, 67.3202614379085, 67.3202614379085, 67.3202614379085, 67.64705882352942, 67.3202614379085, 66.33986928104575, 67.64705882352942]",,,
"({'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'})",,"[60.130718954248366, 59.150326797385624, 72.87581699346404, 73.8562091503268, 73.52941176470588, 74.50980392156863, 74.83660130718954, 74.83660130718954, 74.18300653594771]",,,
"({'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'})",,"[51.633986928104584, 53.59477124183007, 75.16339869281046, 75.16339869281046, 75.81699346405229, 75.81699346405229, 74.83660130718954, 74.18300653594771, 73.8562091503268]",,,
"({'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'})",,"[59.80392156862745, 59.47712418300654, 61.43790849673203, 62.745098039215684, 61.43790849673203, 58.496732026143796, 59.150326797385624, 59.47712418300654, 56.86274509803921]",,,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'})",,"[59.80392156862745, 58.496732026143796, 57.18954248366013, 57.18954248366013, 56.86274509803921, 56.209150326797385, 55.55555555555556, 54.57516339869281, 57.84313725490197]",,,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'})",,"[50.98039215686274, 55.22875816993464, 61.76470588235294, 61.76470588235294, 60.45751633986928, 61.111111111111114, 61.76470588235294, 61.76470588235294, 63.0718954248366]",,,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'})",,"[59.80392156862745, 60.45751633986928, 59.150326797385624, 58.16993464052288, 58.82352941176471, 61.111111111111114, 60.130718954248366, 59.80392156862745, 60.130718954248366]",,,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'})",,"[50.98039215686274, 52.28758169934641, 58.82352941176471, 61.111111111111114, 61.43790849673203, 63.0718954248366, 62.745098039215684, 62.745098039215684, 62.745098039215684]",,,
"({'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'})",,"[59.80392156862745, 59.80392156862745, 60.78431372549019, 61.76470588235294, 62.091503267973856, 61.76470588235294, 61.76470588235294, 62.745098039215684, 59.47712418300654]",,,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",,"[63.39869281045751, 61.76470588235294, 57.18954248366013, 57.18954248366013, 56.86274509803921, 56.209150326797385, 55.55555555555556, 54.57516339869281, 57.84313725490197]",,,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'})",,"[50.98039215686274, 51.9607843137255, 61.43790849673203, 61.76470588235294, 63.0718954248366, 62.745098039215684, 62.745098039215684, 62.41830065359477, 61.76470588235294]",,,
"({'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'})",,"[59.80392156862745, 60.78431372549019, 60.130718954248366, 57.84313725490197, 57.84313725490197, 57.84313725490197, 56.86274509803921, 56.86274509803921, 58.16993464052288]",,,
"({'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'})",,"[51.307189542483655, 52.94117647058824, 56.86274509803921, 61.43790849673203, 61.76470588235294, 61.43790849673203, 61.111111111111114, 61.43790849673203, 61.111111111111114]",,,
"({'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'})",,"[66.33986928104575, 62.091503267973856, 57.84313725490197, 60.45751633986928, 61.43790849673203, 61.43790849673203, 61.111111111111114, 60.45751633986928, 57.51633986928104]",,,
"({'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'})",,"[59.47712418300654, 60.130718954248366, 73.52941176470588, 74.83660130718954, 74.50980392156863, 74.50980392156863, 75.16339869281046, 74.83660130718954, 74.18300653594771]",,,
"({'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'})",,"[51.633986928104584, 53.26797385620915, 75.16339869281046, 76.1437908496732, 77.12418300653596, 77.12418300653596, 75.49019607843137, 77.12418300653596, 77.12418300653596]",,,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'})",,"[66.66666666666666, 64.05228758169935, 55.88235294117647, 57.51633986928104, 58.16993464052288, 60.130718954248366, 59.80392156862745, 59.80392156862745, 60.130718954248366]",,,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'})",,"[51.633986928104584, 55.22875816993464, 63.725490196078425, 61.43790849673203, 62.41830065359477, 63.725490196078425, 63.0718954248366, 62.091503267973856, 63.0718954248366]",,,
"({'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'})",,"[66.01307189542483, 65.0326797385621, 63.725490196078425, 63.0718954248366, 63.725490196078425, 62.745098039215684, 62.091503267973856, 62.41830065359477, 59.80392156862745]",,,
"({'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",,"[62.745098039215684, 63.39869281045751, 76.1437908496732, 76.79738562091504, 75.49019607843137, 76.1437908496732, 75.49019607843137, 74.83660130718954, 74.18300653594771]",,,
"({'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'})",,"[51.633986928104584, 52.94117647058824, 75.16339869281046, 75.81699346405229, 76.79738562091504, 77.12418300653596, 76.1437908496732, 76.47058823529412, 76.1437908496732]",,,
"({'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'})",,"[65.359477124183, 60.130718954248366, 56.5359477124183, 57.18954248366013, 56.86274509803921, 57.18954248366013, 56.5359477124183, 57.18954248366013, 58.16993464052288]",,,
"({'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'})",,"[51.633986928104584, 57.84313725490197, 71.24183006535948, 68.30065359477125, 67.3202614379085, 67.97385620915033, 69.28104575163398, 68.30065359477125, 68.30065359477125]",,,
"({'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'})",,"[59.80392156862745, 60.130718954248366, 61.76470588235294, 62.41830065359477, 63.725490196078425, 61.76470588235294, 59.80392156862745, 60.45751633986928, 59.47712418300654]",,,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",,"[63.39869281045751, 64.05228758169935, 58.496732026143796, 57.18954248366013, 57.51633986928104, 60.130718954248366, 59.47712418300654, 59.150326797385624, 59.47712418300654]",,,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'})",,"[50.98039215686274, 51.307189542483655, 60.78431372549019, 62.41830065359477, 62.091503267973856, 61.76470588235294, 61.76470588235294, 61.76470588235294, 61.76470588235294]",,,
"({'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'})",,"[59.47712418300654, 60.130718954248366, 59.150326797385624, 57.84313725490197, 58.496732026143796, 57.51633986928104, 56.86274509803921, 57.18954248366013, 57.84313725490197]",,,
"({'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'})",,"[50.98039215686274, 53.26797385620915, 59.47712418300654, 61.76470588235294, 62.091503267973856, 61.76470588235294, 62.091503267973856, 62.41830065359477, 62.745098039215684]",,,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'})",,"[66.01307189542483, 60.78431372549019, 63.0718954248366, 62.41830065359477, 61.76470588235294, 62.091503267973856, 62.091503267973856, 61.76470588235294, 63.0718954248366]",,,
"({'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'})",,"[59.80392156862745, 59.80392156862745, 74.83660130718954, 74.50980392156863, 75.16339869281046, 75.49019607843137, 74.50980392156863, 74.18300653594771, 73.8562091503268]",,,
"({'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'})",,"[60.130718954248366, 61.43790849673203, 74.50980392156863, 75.49019607843137, 76.47058823529412, 76.47058823529412, 75.49019607843137, 77.12418300653596, 77.12418300653596]",,,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'NLP', 'name': 'NLP_Classifier()'})",,"[66.01307189542483, 62.091503267973856, 62.41830065359477, 63.725490196078425, 64.05228758169935, 64.37908496732027, 64.05228758169935, 63.725490196078425, 63.725490196078425]",,,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'})",,"[60.130718954248366, 63.0718954248366, 64.37908496732027, 61.43790849673203, 62.41830065359477, 64.05228758169935, 63.725490196078425, 62.745098039215684, 63.39869281045751]",,,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'})",,"[65.68627450980392, 61.111111111111114, 65.68627450980392, 65.359477124183, 65.0326797385621, 63.725490196078425, 63.39869281045751, 63.0718954248366, 62.091503267973856]",,,
"({'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",,"[63.0718954248366, 63.39869281045751, 75.49019607843137, 75.16339869281046, 75.16339869281046, 74.83660130718954, 73.8562091503268, 73.8562091503268, 73.8562091503268]",,,
"({'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'})",,"[60.130718954248366, 60.45751633986928, 74.50980392156863, 75.81699346405229, 76.79738562091504, 76.1437908496732, 75.81699346405229, 75.81699346405229, 76.1437908496732]",,,
"({'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'NLP', 'name': 'NLP_Classifier()'})",,"[63.725490196078425, 61.76470588235294, 65.0326797385621, 65.359477124183, 65.0326797385621, 65.0326797385621, 64.37908496732027, 63.39869281045751, 63.725490196078425]",,,
"({'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'})",,"[60.130718954248366, 64.37908496732027, 70.26143790849673, 67.3202614379085, 67.64705882352942, 68.62745098039215, 69.6078431372549, 68.62745098039215, 68.62745098039215]",,,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'})",,"[59.80392156862745, 59.47712418300654, 63.0718954248366, 62.745098039215684, 63.725490196078425, 63.725490196078425, 63.39869281045751, 63.39869281045751, 61.76470588235294]",,,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",,"[63.39869281045751, 62.745098039215684, 60.130718954248366, 60.78431372549019, 60.78431372549019, 62.091503267973856, 62.091503267973856, 63.0718954248366, 63.0718954248366]",,,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'})",,"[59.80392156862745, 59.80392156862745, 61.43790849673203, 62.091503267973856, 62.091503267973856, 62.091503267973856, 61.76470588235294, 61.76470588235294, 61.76470588235294]",,,
"({'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'})",,"[58.496732026143796, 61.111111111111114, 62.091503267973856, 62.091503267973856, 62.091503267973856, 62.091503267973856, 61.43790849673203, 61.111111111111114, 61.76470588235294]",,,
"({'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'})",,"[59.80392156862745, 61.43790849673203, 61.76470588235294, 61.76470588235294, 62.41830065359477, 61.43790849673203, 61.76470588235294, 62.41830065359477, 62.745098039215684]",,,
"({'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'})",,"[59.80392156862745, 61.111111111111114, 74.50980392156863, 75.16339869281046, 76.79738562091504, 77.45098039215686, 76.1437908496732, 76.1437908496732, 75.81699346405229]",,,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",,"[63.0718954248366, 67.64705882352942, 66.01307189542483, 61.76470588235294, 62.41830065359477, 63.725490196078425, 63.725490196078425, 62.745098039215684, 63.0718954248366]",,,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'})",,"[65.68627450980392, 64.70588235294117, 64.37908496732027, 64.37908496732027, 64.05228758169935, 63.39869281045751, 62.41830065359477, 61.76470588235294, 61.76470588235294]",,,
"({'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'})",,"[59.80392156862745, 65.68627450980392, 75.16339869281046, 72.22222222222221, 69.6078431372549, 70.26143790849673, 70.91503267973856, 69.28104575163398, 68.95424836601308]",,,
"({'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'})",,"[65.359477124183, 58.496732026143796, 61.43790849673203, 63.0718954248366, 64.05228758169935, 62.745098039215684, 62.745098039215684, 62.41830065359477, 62.745098039215684]",,,
"({'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'})",,"[64.37908496732027, 60.78431372549019, 62.745098039215684, 61.111111111111114, 61.111111111111114, 61.43790849673203, 61.76470588235294, 63.725490196078425, 59.80392156862745]",,,
"({'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'})",,"[59.150326797385624, 61.43790849673203, 73.52941176470588, 72.54901960784314, 68.30065359477125, 67.64705882352942, 65.0326797385621, 64.05228758169935, 58.82352941176471]",,,
"({'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'})",,"[60.130718954248366, 62.745098039215684, 74.50980392156863, 74.18300653594771, 70.91503267973856, 69.93464052287581, 66.66666666666666, 64.37908496732027, 58.496732026143796]",,,
"({'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'NLP', 'name': 'NLP_Classifier()'})",,"[66.01307189542483, 61.111111111111114, 64.05228758169935, 64.70588235294117, 63.0718954248366, 60.130718954248366, 59.80392156862745, 59.47712418300654, 56.86274509803921]",,,
"({'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'})",,"[60.130718954248366, 63.39869281045751, 62.091503267973856, 61.76470588235294, 62.41830065359477, 61.43790849673203, 60.78431372549019, 59.80392156862745, 57.18954248366013]",,,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'})",,"[59.80392156862745, 62.091503267973856, 57.84313725490197, 57.51633986928104, 56.5359477124183, 55.88235294117647, 55.88235294117647, 54.90196078431373, 58.16993464052288]",,,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'})",,"[66.33986928104575, 57.84313725490197, 57.51633986928104, 57.51633986928104, 57.18954248366013, 56.209150326797385, 55.55555555555556, 54.57516339869281, 57.84313725490197]",,,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'})",,"[59.47712418300654, 64.70588235294117, 68.30065359477125, 67.97385620915033, 67.97385620915033, 67.97385620915033, 67.64705882352942, 66.66666666666666, 67.97385620915033]",,,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'})",,"[51.633986928104584, 60.130718954248366, 69.6078431372549, 68.95424836601308, 68.95424836601308, 69.28104575163398, 68.62745098039215, 66.66666666666666, 68.30065359477125]",,,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'})",,"[66.66666666666666, 59.47712418300654, 62.091503267973856, 61.76470588235294, 60.45751633986928, 61.111111111111114, 61.76470588235294, 61.76470588235294, 63.0718954248366]",,,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'})",,"[51.633986928104584, 57.84313725490197, 63.0718954248366, 62.41830065359477, 61.76470588235294, 62.091503267973856, 62.091503267973856, 61.76470588235294, 63.0718954248366]",,,
"({'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'})",,"[58.82352941176471, 60.78431372549019, 73.52941176470588, 74.83660130718954, 74.18300653594771, 74.83660130718954, 74.83660130718954, 74.83660130718954, 74.18300653594771]",,,
"({'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'})",,"[60.130718954248366, 60.130718954248366, 74.18300653594771, 74.83660130718954, 74.50980392156863, 74.50980392156863, 75.16339869281046, 74.83660130718954, 74.18300653594771]",,,
